Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",28563341416704,85806828099840,55783638568128,609858295200,596417892000,10187265608800,3573467200800,132689795000,85100529352608,63039295819584,46830071181600,40146461022528,63876497092128,375200570304,113403402000,1820054600,3080092400,5194007894880,4715207167104,487200740544,285600434112,0,7887611989152,3018404587968,0,158119040340576,3080046200,0,0,76162284800,0,0,0,0,0,9245082000,0,0,29962097200,84285899600,6160431200,0,0,1487264616600,6812410354848,1759852794000,1641409240800,39846728600,135529486400,0,0,39541660103232,81317723602752,4580806962816,56786886315936,31900448488608,0,0,7348199798800,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, std::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_bvector.h,0xaeca
"std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",11403375842880,12879824505024,8410077187008,87782633400,91702751000,2178045339400,1103933117000,33049912000,13168420015968,439600668192,361200549024,352800536256,2091603179232,0,2940088200,420012600,1400042000,439600668192,1985203017504,75600114912,520800791616,0,10480415930208,2262403438848,2800004256,708401076768,51800777000,0,0,12460373800,0,0,0,0,0,0,0,0,280019600,980068600,0,0,0,3780113400,2214803366496,2940088200,1400042000,210088200,980068600,0,0,2198003340960,7635611606112,954801451296,23606835882336,6448409801568,0,0,261290363600,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf657
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",7357442493312,8291073264768,5393577766464,62441873200,61041831200,141404242000,2520075600,5447633800,8184412440288,3267604966752,2066403140928,1705202591904,3091204698624,14000021280,8960268800,560016800,6860205800,840001276800,1016401544928,140000212800,75600114912,0,1391602115232,333200506464,0,10438415866368,1400021000,0,0,19740592200,0,0,0,0,0,0,0,0,0,0,980068600,0,0,560016800,86800131936,420012600,700021000,0,0,0,0,2363203592064,7372411206048,688801046976,15565223659104,6504409886688,0,0,38819642400,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x12afb
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",5856193013760,6032998841088,3849726882816,40181205400,41301239000,0,519835594600,0,6078809239776,19600029792,8400012768,14000021280,700001064000,0,0,1680050400,1680050400,299600455392,560000851200,16800025536,229600348992,0,2198003340960,887601349152,0,25200038304,25760386400,0,0,7980239400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800004256,1083601647072,3542005383840,417200634144,14957622735552,4018006107360,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4d8
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",5385777509376,4811958596928,3110902531968,35841075200,32760982800,0,549236476600,0,4911207465024,5600008512,8400012768,16800025536,733601115072,0,0,560016800,1400042000,266000404320,400400608608,25200038304,257600391552,0,1447602200352,604800919296,0,53200080864,31360470400,0,0,3920117600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890401353408,2909204421984,350000532000,13342020279840,1358002064160,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4f5
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",3757523843904,2449680738816,1650654403776,15680470400,16660499800,0,0,0,2643204017664,375200570304,154000234080,131600200032,215600327712,8400012768,1960058800,140004200,140004200,249200378784,294000446880,36400055328,28000042560,0,487200740544,464800706496,0,2931604456032,840012600,0,0,3220096600,0,0,0,0,0,0,0,0,0,0,140009800,0,0,0,0,0,0,0,0,0,0,450800685216,2038403098368,294000446880,4981207571424,4037606137152,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12b73
trng::lcg64::step,2969097858240,3391311773952,2184471997824,24360730800,22400672000,1467664028600,645699370400,11021305400,3371205124224,1164801770496,764401161888,691601051232,1145201740704,14000021280,6860205800,140004200,420012600,366800557536,319200485184,89600136192,56000085120,0,658001000160,383600583072,0,3819205805184,280004200,0,0,8540256200,0,0,0,0,0,0,0,0,0,0,0,0,0,280008400,1212401842848,140004200,420012600,70029400,0,0,0,921201400224,2889604392192,540400821408,6129209316384,3038004617760,0,0,79333793000,imm,trng::lcg64::step(void),lcg64.hpp,0x12b73
"std::vector<bool, std::allocator<bool>>::operator[]",2951897291328,1700056032000,1085635781376,10080302400,12740382200,0,0,0,1694002574880,280000425600,145600221312,140000212800,280000425600,2800004256,2940088200,420012600,280008400,170800259616,257600391552,2800004256,19600029792,0,383600583072,30800046816,0,2268003447360,0,0,0,2520075600,0,0,0,0,0,0,0,0,0,0,700049000,0,0,0,0,0,0,0,0,0,0,366800557536,1526002319520,64400097888,4337206592544,2315603519712,0,0,0,imm,"std::vector<bool, std::allocator<bool>>::operator[](unsigned long)",stl_bvector.h,0x12b05
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2680688352576,19165431671808,12525412824000,132303969000,140704221000,603278097800,0,3865159200,19471229596224,16920425719008,16340824838016,13627620713952,17374026408480,25200038304,29260877800,0,0,1078001638560,420000638400,0,39200059584,0,2699204102784,28000042560,0,25474438721088,1120016800,0,0,2940088200,0,0,0,0,0,9637297600,0,0,12320862400,18761313200,0,0,0,217006510000,39200059584,177105313000,5880176400,49230668200,35282469600,0,0,3203204868864,18365227915104,1178801791776,6815210359104,3402005171040,0,0,745009435800,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x12b33
"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",1457648042496,998032894080,639821087808,7700231000,8260247800,655079651800,329149874200,5881764000,898801366176,462000702240,25200038304,25200038304,386400587328,0,5180155400,0,0,25200038304,39200059584,0,0,0,8400012768,0,0,1304801983296,280004200,0,0,3080092400,0,0,0,0,0,0,0,0,0,0,0,0,0,36401092000,274400417088,1540046200,1120033600,0,140009800,0,28000042560,498400757568,635600966112,2800004256,1262801919456,1971202996224,0,0,193257960000,imm,"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",counting.h,0xd390
