Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",28771117870800,184080113382400,119175345117600,1276978308200,1300779022200,10159964789800,3567307016000,131667488400,182778677823168,159415442311104,118546580190528,110994968712096,160689444247584,361200549024,77142314200,2660079800,1540046200,5527208401344,5034407652288,1778002702560,333200506464,0,7635611606112,3119204741184,16800025536,360380147776992,4200063000,0,0,75882276400,0,0,0,0,0,7255988600,0,0,16801176000,43823067400,6440450800,0,39762783200,1523945717000,6756410269728,1757472722600,1643089291200,32003435800,141269888200,15961117200,2800004256,98033749011072,179183472358464,7800811857216,57568087503360,32382049220640,0,0,13700112801200,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, libmemkind::static_kind::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_bvector.h,0xaefa
"std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",11560408083600,16295893320800,10591690647000,118303549000,114803444000,2181545444400,1090912726400,32307689400,16475225042304,915601391712,386400587328,347200527744,2237203400544,0,980029400,0,0,1481202251424,3306805026336,876401332128,912801387456,0,22534434252288,2517203826144,8400012768,1324402013088,51520772800,0,0,13720411600,0,0,0,0,0,0,0,0,0,0,0,0,140009800,3360100800,2164403289888,2100063000,1680050400,560235200,140009800,0,196000297920,2016003064320,7285611074112,2310003511200,19807230106944,7114810814496,0,0,228478523000,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>> std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf667
"std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>::push_back",7165928984400,8722957010400,5809004560200,64821944600,62441873200,129923897600,1820054600,5461638000,8850813453216,3768805728576,2525603838912,2105603200512,3528005362560,11200017024,7700231000,420012600,9940298200,700001064000,932401417248,375200570304,53200080864,0,1290801962016,260400395808,8400012768,11331617224032,280004200,0,0,23380701400,0,0,0,0,0,0,0,0,0,0,1680117600,0,0,280008400,156800238336,420012600,420012600,0,0,0,5600008512,3108004724160,7753211784864,898801366176,15397223403744,6529609924992,0,0,39099726400,imm,"std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x12b3b
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++",6013708244800,6450516107200,4164374957400,46341390200,45361360800,0,541536245600,0,6476409844128,30800046816,8400012768,5600008512,733601115072,0,0,840025200,1680050400,509600774592,806401225728,268800408576,254800387296,0,5698008660960,893201357664,0,61600093632,27440411600,0,0,6300189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000085120,1621202464224,3738005681760,641200974624,12395618841312,3948006000960,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4e8
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++",5237694276800,4956889222400,3219057942000,34441033200,33180995400,0,545036350600,0,4958807537376,25200038304,2800004256,8400012768,837201272544,0,0,700021000,0,322000489440,456400693728,238000361760,243600370272,0,3724005660480,663601008672,2800004256,33600051072,27160407400,0,0,6020180600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33600051072,1117201698144,2934404460288,590800898016,10315215679104,1568002383360,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf505
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",3718666934800,2468444431200,1585528539000,18200546000,16240487200,0,0,0,2595603945312,422800642656,176400268128,128800195776,224000340480,8400012768,420012600,140004200,140004200,240800366016,229600348992,75600114912,39200059584,0,411600625632,403200612864,0,2987604541152,560008400,0,0,7420222600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641200974624,2195203336704,296800451136,5210807920416,3945205996704,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12bb3
"std::vector<bool, std::allocator<bool>>::operator[]",2941452945200,1671230081600,1051518927000,9940298200,10360310800,0,0,0,1624002468480,355600540512,207200314944,170800259616,336000510720,8400012768,1820054600,140004200,560016800,198800302176,282800429856,0,8400012768,0,372400566048,33600051072,0,2203603349472,0,0,0,2520075600,0,0,0,0,0,0,0,0,0,0,560039200,0,0,0,0,0,0,0,0,0,0,470400715008,1495202272704,84000127680,4407206698944,2086003170720,0,0,0,imm,"std::vector<bool, std::allocator<bool>>::operator[](unsigned long)",stl_bvector.h,0x12b45
trng::lcg64::step,2907852340400,4497680956800,2842251159600,35141054200,31360940800,1444703339800,647239416600,10559166800,4625607030912,2044003106880,1766802685536,1629602476992,2052403119648,19600029792,4200126000,700021000,980029400,386400587328,319200485184,168000255360,70000106400,0,694401055488,313600476672,0,5933209018464,840012600,0,0,8960268800,0,0,0,0,0,0,0,0,0,0,280019600,0,0,140004200,1190001808800,280008400,280008400,0,0,0,0,1346802047136,3841605839232,683201038464,6224409461088,3001604562432,0,0,76378906800,imm,trng::lcg64::step(void),lcg64.hpp,0x12bb3
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2756449615200,61851113300000,40116122077200,440033200600,428692860400,601038030600,140004200,3725117200,62451294925824,59735290797504,58668489175968,55854484898688,59684890720896,53200080864,28560856800,0,140004200,1181601796032,492800749056,0,58800089376,0,2615203975104,61600093632,2800004256,81530523926208,1680025200,0,0,5880176400,0,0,0,0,0,10561805800,0,0,3780264600,12180852600,420029400,0,14981048600,216866505800,67200102144,174305229000,5180155400,32493641600,49703479000,8260578200,0,9349214210784,60720892295616,2749604179392,7224010980480,3444005234880,0,0,1555068380600,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x12b73
"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",1457426233200,5917706516800,3688266387600,37521125600,37521125600,555536665600,276508295000,6399919400,5572008469440,5042807665056,184800280896,165200251104,4886007426720,0,1260037800,0,0,30800046816,47600072352,0,0,0,8400012768,0,0,7683211678464,280004200,0,0,1260037800,0,0,0,0,0,0,0,0,0,0,0,0,0,111303339000,551600838432,2100063000,1540046200,0,0,0,75600114912,4516406864928,5709208677984,0,1932002936640,1842402800448,0,0,438023367600,imm,"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",counting.h,0xd3d0
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++",1386824962400,998017964000,659111863800,8400252000,7000210000,0,108363250800,0,1136801727936,0,8400012768,0,117600178752,0,0,560016800,280008400,19600029792,50400076608,14000021280,42000063840,0,212800323456,140000212800,0,8400012768,3640054600,0,0,1680050400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600008512,204400310688,574000872480,47600072352,2732804153856,1024801557696,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf5b8
