Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",31937413903520,336349959038976,217448818100160,2365370959000,2355850673400,10229966889800,3606928204600,133319984000,336207711034944,306065665219104,211243521089664,199379903056992,305628864555168,268800408576,110043301200,0,2520075600,5776408780128,5423608243872,5922009001440,394800600096,0,8682813197856,3038004617760,16800025536,574118472658752,560008400,0,0,65801974000,0,0,0,0,0,8992943400,0,0,8960627200,34722430400,4200294000,0,36402548000,1525485763200,6680810154816,1764472932600,1638749161000,41947610600,132869300200,10920764400,11200017024,137824609493088,326480496249600,14142821497056,62277694661952,34490452425408,0,0,14030499887600,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, libmemkind::static_kind::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_vector.h,0xae64
"std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",7691899685728,19798456584672,12787665726000,141684250400,142384271400,0,0,0,20162830647456,7994012150880,1436402183328,1237601881152,10091215338624,0,420012600,0,0,1741602647232,949201442784,274400417088,495600753312,0,9783214870464,2321203528224,5600008512,13417620394752,0,0,0,1540046200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100800153216,5661608605632,8646413142528,1828402779168,19838030153760,6006009129120,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xe53f
std::swap<unsigned int>,7653099182880,17048020939488,10979142287840,118023540600,112983389400,1466543995000,1128433852000,16356905600,16682425357248,4359606626592,786801195936,632800961856,6652810112256,0,560016800,0,0,1209601838592,1500802281216,873601327872,350000532000,0,6568809984576,2422003681440,0,5678408631168,0,0,0,1540046200,0,0,0,0,0,0,0,0,0,0,0,0,0,1120033600,1397202123744,280008400,700021000,0,0,0,19600029792,3376805132736,5266808005536,2721604136832,20706031473120,6938410546368,0,0,128390505600,imm,"std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned int>>, std::is_move_constructible<unsigned int>, std::is_move_assignable<unsigned int>>::value, void>::type std::swap<unsigned int>(unsigned int&, unsigned int&)",move.h,0xe542
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",7052691401696,10086730722336,6564585075920,69582087400,69162074800,141544246200,2100063000,5237570800,10074415313088,3962006022240,2968004511360,2424803685696,4253206464864,5600008512,17780533400,0,25200756000,744801132096,1024801557696,1047201591744,50400076608,0,1271201932224,277200421344,8400012768,11446417398528,0,0,0,18060541800,0,0,0,0,0,0,0,0,0,0,1260088200,0,0,0,162400246848,0,0,0,0,0,0,3085604690112,8520412951008,1738802642976,14644022258880,6473609839872,0,0,37013100600,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x11ff6
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",3666047511360,2661634494336,1682021798720,18620558600,18900567000,0,0,0,2581603924032,422800642656,204400310688,140000212800,215600327712,5600008512,700021000,0,140004200,226800344736,324800493696,193200293664,30800046816,0,557200846944,456400693728,5600008512,3085604690112,0,0,0,5600168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686001042720,1971202996224,464800706496,5034407652288,3911605945632,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12073
trng::lcg64::step,2891037467360,5914876655808,3887050375520,40181205400,43961318800,1449323478400,628618858000,10909271800,6053609201472,3169604817792,2811204273024,2382803621856,3088404694368,11200017024,6720201600,0,1260037800,333200506464,355600540512,722401098048,70000106400,0,688801046976,383600583072,2800004256,7526411440128,0,0,0,5320159600,0,0,0,0,0,0,0,0,0,0,140009800,0,0,140004200,1296401970528,0,140004200,0,0,0,8400012768,1489602264192,4891607435232,1318802004576,5950009044000,3052004639040,0,0,78227461200,imm,trng::lcg64::step(void),lcg64.hpp,0x12073
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2770435904384,89739563009664,58218254498800,627358820200,634219026000,594877845800,0,3627087800,89289335719584,86657331718944,86343731242272,79900921449216,88104933919296,30800046816,47881436400,0,560016800,954801451296,422800642656,0,67200102144,0,2237203400544,42000063840,0,107996164153920,0,0,0,4760142800,0,0,0,0,0,10589821200,0,0,2940205800,4340303800,140009800,0,13860970200,235487064400,11200017024,186625598600,5740172200,47129786200,42282959600,6580460600,0,9562014534240,88076933876736,2842004319840,6675210146304,3399205166784,0,0,1493996064400,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x1202e
"__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>",2281229564352,14269984936608,9297620495600,96742902200,106403192000,1121293637800,0,22938879600,14590822178016,10357215742944,1125601710912,848401289568,11888818070976,0,4620138600,0,0,319200485184,456400693728,0,53200080864,0,1920802919616,968801472576,2800004256,14476022003520,0,0,0,280008400,0,0,0,0,0,0,0,0,0,0,0,0,0,13020390600,1072401630048,840025200,980029400,0,0,0,78400119168,6678010150560,10578416079168,2618003979360,2853204336864,2195203336704,0,0,300404094200,imm,"bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>) const",predefined_ops.h,0xe548
"std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter>",1691021915360,2026226259552,1288016692480,12180365400,13720411600,410072301800,536076081800,2212663600,2044003106880,5600008512,0,0,448000680960,0,560016800,0,0,112000170240,156800238336,0,103600157472,0,1548402353568,274400417088,0,11200017024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260037800,369600561792,2660079800,1960058800,0,140009800,140009800,0,618800940576,943601434272,5600008512,4768407247968,938001425760,0,0,15614683000,imm,"void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter)",stl_algo.h,0x121e8
"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",1457618890496,5850675823776,3654547362320,39341180200,38921167600,566877005800,282948488200,7226167200,5888408950368,5289208039584,198800302176,201600306432,5350808133216,0,2100063000,0,0,50400076608,61600093632,0,0,0,22400034048,0,2800004256,7459211337984,0,0,0,3220096600,0,0,0,0,0,0,0,0,0,0,0,0,0,102903087000,537600817152,2380071400,1680050400,0,0,0,78400119168,3774405737088,4810407311808,30800046816,1495202272704,1624002468480,0,0,419775895000,imm,"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, libmemkind::static_kind::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",counting.h,0xd430
