Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",28608742913088,86652055957632,57153283710144,602858085200,612098362400,10027240808200,3536786100400,128572560200,86371731284832,64386097866720,47409672062592,40429261452384,64876098611520,246400374528,77702331000,2380071400,1680050400,5096007745920,4572406950048,537600817152,316400480928,0,7868011959360,3346005085920,0,160451443885824,4480067200,0,0,69722091600,0,0,0,0,0,7340034800,0,0,27581930600,72945105800,6720470400,0,0,1448903465800,6759210273984,1720791622200,1620828623400,37255640800,119288349600,0,0,40255661188512,82885725986112,4547206911744,56954886571296,31934048539680,0,0,7084444696000,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, std::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_bvector.h,0xaeca
"std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",11281371821760,12958627102272,8355675393984,89182675400,86942608200,2164884944600,1083912516400,29996996400,13160020003200,445200676704,414400629888,302400459648,2128003234560,11200017024,1120033600,560016800,0,403200612864,1870402843008,56000085120,523600795872,0,10491615947232,2130803238816,0,641200974624,51520772800,0,0,12180365400,0,0,0,0,0,0,0,0,0,280019600,0,0,0,4760142800,2063603136672,2520075600,1400042000,280117600,420029400,0,11200017024,2158803281376,7403211252864,884801344896,23587235852544,6367209678144,0,0,213690087800,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf657
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",7328041524288,8261272282560,5619985228608,60201806000,59221776600,132023960600,2940088200,4719415400,8430812814816,2906404417728,2060803132416,1702402587648,3057604647552,5600008512,2800084000,140004200,5180155400,792401204448,1069601625792,137200208544,70000106400,0,1400002128000,268800408576,2800004256,10371215764224,560008400,0,0,23520705600,0,0,0,0,0,0,0,0,0,0,420029400,0,0,420012600,168000255360,700021000,560016800,0,140009800,0,0,2402403651648,7176410908128,803601221472,15419623437792,6588410014368,0,0,34772428600,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x12afb
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",5877393712512,6026398623552,3933529644864,43401302000,44661339800,0,514795443400,0,5860408907808,28000042560,8400012768,2800004256,725201102304,0,0,980029400,980029400,296800451136,582400885248,42000063840,235200357504,0,2116803217536,764401161888,0,39200059584,25200378000,0,0,7840235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600008512,1047201591744,3371205124224,358400544768,15139623012192,3883605903072,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4d8
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",5420178643200,4843359631872,3108502452864,34161024800,35701071000,0,562676879800,0,4978407567168,39200059584,11200017024,8400012768,753201144864,0,0,280008400,560016800,282800429856,414400629888,33600051072,226800344736,0,1411202145024,672001021440,2800004256,56000085120,23520352800,0,0,5460163800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800004256,775601178912,2746804175136,294000446880,13437220424544,1394402119488,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4f5
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",3699321925632,2430480105984,1615853256768,19740592200,15260457800,0,0,0,2475203762304,383600583072,117600178752,123200187264,210000319200,8400012768,700021000,0,0,190400289408,330400502208,16800025536,11200017024,0,501200761824,512400778848,0,2940004468800,1400021000,0,0,5320159600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462000702240,2007603051552,310800472416,5143607818272,3936805983936,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12b73
trng::lcg64::step,2927096473920,3272707864896,2201672564736,23940718200,21140634200,1439523184400,640939227600,10811242400,3334805068896,1013601540672,792401204448,596400906528,1097601668352,19600029792,1400042000,0,280008400,324800493696,319200485184,109200165984,61600093632,0,672001021440,383600583072,0,3998406077568,1120016800,0,0,7560226800,0,0,0,0,0,0,0,0,0,0,140009800,0,0,1680050400,1195601817312,840025200,560016800,0,0,0,0,873601327872,2780404226208,526400800128,6095609265312,2942804473056,0,0,77863352000,imm,trng::lcg64::step(void),lcg64.hpp,0x12b73
"std::vector<bool, std::allocator<bool>>::operator[]",2917096144320,1691055735360,1120636934976,11340340200,11620348600,0,0,0,1766802685536,324800493696,154000234080,106400161728,299600455392,5600008512,420012600,280008400,280008400,176400268128,322000489440,5600008512,11200017024,0,400400608608,33600051072,0,2184003319680,0,0,0,2940088200,0,0,0,0,0,0,0,0,0,0,280019600,0,0,0,0,0,0,0,0,0,0,322000489440,1391602115232,84000127680,4578006958560,2338003553760,0,0,0,imm,"std::vector<bool, std::allocator<bool>>::operator[](unsigned long)",stl_bvector.h,0x12b05
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2753890765248,19481642093760,12825622718592,137344120200,138464153800,602018060000,0,3332999600,19272429294048,17122026025440,16590025216800,14221221616224,17452426527648,22400034048,6300189000,140004200,140004200,1094801664096,411600625632,0,33600051072,0,2612403970848,33600051072,0,25902839372256,1120016800,0,0,3500105000,0,0,0,0,0,8852866400,0,0,10360725200,16521156400,280019600,0,0,216306489000,42000063840,182005460000,5180155400,39846728600,38082665600,0,0,3542005383840,18818828604576,1136801727936,6991610627232,3295605009312,0,0,716664935000,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x12b33
"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",1456848016128,1018233559872,636220969152,8260247800,7980239400,714721441000,357290718400,7786335200,1128401715168,534800812896,33600051072,25200038304,492800749056,0,2660079800,0,0,30800046816,36400055328,0,0,0,5600008512,0,0,980001489600,280004200,0,0,3080092400,0,0,0,0,0,0,0,0,0,280019600,0,0,0,44941348200,288400438368,1820054600,1540046200,0,280019600,0,47600072352,526400800128,658001000160,2800004256,1262801919456,2002003043040,0,0,213648075200,imm,"ripples::CountOccurrencies<__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int>>*, std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>._omp_fn.13",counting.h,0xd390
