Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",527988.455377,83.7,0.0,28.2,10.8,11.7,39.1,49.2,72.5,0.1,0.8,0.0,33.9,1.3,3.3,10286528586600,3610428309600,100247016800,5180362600,19881391600,13020911400,28001960000,0,83.634274,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, std::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_bvector.h,0xaeca
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",166520.585471,87.1,0.0,1.5,19.5,11.1,11.5,79.7,60.8,0.4,0.9,0.0,58.3,4.2,8.0,630438912600,0,45223165400,3360235200,4480313600,7840548800,12880901600,0,367.052288,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x12dc3
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",101837.431153,56.5,6.1,0.0,35.3,31.2,21.6,51.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,171365140800,42281268400,560039200,0,280019600,0,0,0,27.542533,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x12d8b
"std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",92475.612420,79.6,12.4,0.5,2.7,16.3,49.5,24.8,88.9,0.0,0.9,0.0,33.6,0.6,2.8,2431872954000,1254717640400,1680117600,0,560039200,140009800,560039200,0,51.430932,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf8e7
__memmove_avx_unaligned_erms,58621.976805,88.1,9.0,0.0,6.7,0.0,44.9,18.9,83.3,0.0,0.0,0.0,42.7,0.7,3.8,91562746800,61601848000,1540107800,0,0,140009800,700049000,0,163.787671,libc-2.29.so,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x189080
[vmlinux],42235.263925,65.8,8.7,0.0,22.0,8.2,4.2,30.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,540136203600,254247627200,1540107800,280019600,0,0,0,0,29.008475,vmlinux,[vmlinux],[Unknown],0x0
"__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>",40298.417063,83.7,15.4,1.4,3.8,0.0,59.5,24.1,100.0,0.0,0.0,0.0,65.8,0.0,13.2,2467154012400,280008400,1540107800,0,0,0,840058800,0,50.824713,imm,"bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>) const",predefined_ops.h,0xf77c
"std::__move_merge<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter>",31564.955696,80.9,19.2,0.0,2.6,59.8,51.2,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100063000,0,0,0,0,0,0,0,0.0,imm,"unsigned int* std::__move_merge<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf755
trng::lcg64::step,15365.337986,55.8,9.5,0.3,27.9,24.2,22.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353280597200,663339899600,0,0,0,0,0,0,7.425139,imm,trng::lcg64::step(void),lcg64.hpp,0x12e03
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",14632.254392,79.5,1.0,0.0,0.0,0.5,23.2,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420012600,727181814800,0,0,0,0,0,0,0.0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf785
