Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",31567636363296,337054113548544,218367592257600,2363550904400,2360050799400,10427932828600,3607628225600,133978181400,338318914243968,302963260503456,216770729491008,202532707849248,303419661197184,86800131936,109343280200,0,6440193200,5110007767200,5233207954464,8755613308512,299600455392,0,9335214189504,3572805430656,156800238336,576526476318912,5880088200,0,0,69582087400,0,0,0,0,0,9161035800,0,0,8540597800,28141969800,6440450800,0,25201764000,1060671819200,8304812623296,818464553200,637579126800,66317841800,106127428400,9940695800,551600838432,161465045426496,318349283890176,13988821262976,67690102888800,34633252642464,0,0,9455957936600,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, libmemkind::static_kind::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_vector.h,0xae64
std::swap<unsigned int>,10783562536512,21963911117184,14330889890400,154284628400,151204536000,1955998678200,1569727090400,22280682200,21817633162752,6773210295264,1386002106720,770001170400,10192015491840,0,5320159600,0,420012600,1565202379104,1744402651488,1391602115232,330400502208,0,7893211997664,2548003872960,0,8982413653248,0,0,0,3220096600,0,0,0,0,0,0,0,0,0,0,0,0,0,11060331800,1853602817472,1120033600,840025200,0,140009800,0,114800174496,3542005383840,6557609967552,5605608520512,24113636652672,9399614287392,0,0,433317956400,imm,"std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned int>>, std::is_move_constructible<unsigned int>, std::is_move_assignable<unsigned int>>::value, void>::type std::swap<unsigned int>(unsigned int&, unsigned int&)",move.h,0xe542
"std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",9351225036192,21754696657536,14145021680320,148964468800,150084502400,0,0,0,21851233213824,8573613031872,1719202613184,1710802600416,11183216998464,0,6020180600,0,140004200,1551202357824,1148001744960,1148001744960,506800770336,0,10158415440768,2318403523968,58800089376,17264826242496,0,0,0,2800084000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000255360,6616410056928,9380014257600,1792002723840,20753631545472,7481611372032,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xe53f
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",7967283409440,15826352443200,10311427223360,114383431400,103463103800,197685930400,2100063000,7184154600,15719223893184,7478811367776,6515609903712,4429606732992,8246012533920,22400034048,21000630000,0,42141264200,812001234240,1097601668352,1671602540832,67200102144,0,1691202570624,305200463904,67200102144,17841627119232,840012600,0,0,21700651000,0,0,0,0,0,0,0,0,0,0,1260088200,0,0,0,173600263872,0,0,0,0,0,117600178752,5916408992928,12566419100928,2744004170880,18382027940640,7173610903872,0,0,51325393000,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x11ff6
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",4218256483104,3078097797120,1954872656960,21700651000,21000630000,0,0,0,3040804622016,238000361760,78400119168,53200080864,112000170240,2800004256,840025200,0,0,162400246848,282800429856,338800514976,25200038304,0,537600817152,316400480928,2800004256,1456002213120,280004200,0,0,5460163800,0,0,0,0,0,0,0,0,0,0,140009800,0,0,0,0,0,0,0,0,0,0,1206801834336,2066403140928,537600817152,6647210103744,4508006852160,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12073
"__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>",3585502980864,16131156268032,10658114019520,114803444000,115503465000,1647709429800,0,31733517200,15523223595264,11166416972928,1111601689632,565600859712,13456820454336,0,1120033600,0,280008400,532000808640,484400736288,0,61600093632,0,2643204017664,935201421504,28000042560,15870424123008,0,0,0,1400042000,0,0,0,0,0,0,0,0,0,0,0,0,140009800,45221356600,1570802387616,2520075600,1120033600,0,140009800,0,162400246848,6459609818592,10511215977024,4435206741504,4617207018144,3264804962496,0,0,774600310400,imm,"bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>) const",predefined_ops.h,0xe548
trng::lcg64::step,3249737820768,4821551627520,3107155360960,32340970200,37381121400,1652609576800,712901386400,15838750200,5146407822528,1100401672608,800801217216,484400736288,1226401864128,5600008512,2380071400,0,560016800,249200378784,316400480928,1086401651328,56000085120,0,534800812896,324800493696,2800004256,2514403821888,280004200,0,0,8680260400,0,0,0,0,0,0,0,0,0,0,140009800,0,0,0,1495202272704,420012600,0,70029400,0,0,25200038304,1576402396128,3124804749696,1503602285472,6339209635584,3203204868864,0,0,115478633200,imm,trng::lcg64::step(void),lcg64.hpp,0x12073
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2822291036832,95258710147200,61598528393440,675520265000,672300168400,601458043200,0,5237570800,94220143214400,93430542014208,91240938686016,85355329739904,93307341826944,14000021280,37521125600,0,1400042000,848401289568,288400438368,0,39200059584,0,1604402438688,53200080864,5600008512,122550586276608,280004200,0,0,4900147000,0,0,0,0,0,10813944400,0,0,4340303800,6440450800,1260088200,0,11060774200,214066421800,47600072352,144064321800,17780533400,46079345200,44523116400,4620323400,39200059584,13431620416032,91641339294624,1041601583232,5034407652288,3379605136992,0,0,1591101187200,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x1202e
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--",2457668709888,3162264533760,2007977859840,24920747600,22260667800,0,0,0,3304005022080,44800068096,0,5600008512,632800961856,2800004256,0,0,0,109200165984,232400353248,25200038304,106400161728,0,1509202293984,453600689472,0,112000170240,0,0,0,420012600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600008512,229600348992,389200591584,39200059584,7299611095392,1778002702560,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--(void)",stl_iterator.h,0xe560
"std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter>",2280016776480,2705960582976,1788042161120,18340550200,20580617400,550636518600,721441642600,2954886200,2581603924032,8400012768,0,2800004256,560000851200,0,420012600,0,0,162400246848,232400353248,5600008512,140000212800,0,2044003106880,406000617120,0,16800025536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120033600,529200804384,3360100800,2520075600,70029400,0,0,0,940801430016,1332802025856,2800004256,6269209529184,1299201974784,0,0,21090325200,imm,"void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Val_less_iter)",stl_algo.h,0x121e8
