Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
"ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>",28844234559200,78818733974000,51881741373200,558476753800,565056951200,10405812165000,3610428309600,130883253200,79203720389472,55221683936832,43696866419136,39415659911712,55759284753984,114800174496,85542566200,1260037800,1680050400,4914007469280,4709607158592,915601391712,285600434112,0,9256814070336,3477605285952,0,146818223163360,9800147000,0,0,76722301600,0,0,0,0,0,8572712400,0,0,24781734600,61604312000,6300441000,0,0,996129883000,8162012406240,810064301200,636599097400,60855548600,108087565600,0,67200102144,45805269623904,73203311268864,3245204932704,63632896721856,31936848543936,0,0,5274373837600,imm,"void ripples::AddRRRSet<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>, trng::lcg64, ripples::independent_cascade_tag>(ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>> const&, ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, trng::lcg64&, std::vector<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type, std::allocator<ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::vertex_type>>&, ripples::independent_cascade_tag&&)",stl_bvector.h,0xaeca
"std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>",12579076733600,14736524196400,9575810663200,100803024000,101643049200,2476814302200,1268998068800,34940479000,14761622437632,2688004085760,814801238496,772801174656,4415606711712,0,3360100800,280008400,1260037800,341600519232,1218001851360,2444403715488,257600391552,0,6675210146304,1498002276960,120400183008,4124406269088,62720940800,0,0,32060961800,0,0,0,0,0,0,0,0,140009800,560039200,0,0,0,59361780800,2332403545248,5040151200,2800084000,280117600,980068600,0,812001234240,6280409546208,10057615287552,5208007916160,19026028919520,8153612393472,0,0,536486897800,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>> std::__move_merge<unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf657
"std::vector<unsigned int, std::allocator<unsigned int>>::push_back",8102578252800,9539409862400,6314738921200,70562116800,63281898400,195165854800,2800084000,6834049600,9612414610848,3080004681600,2609603966592,1828402779168,3502805324256,22400034048,6300189000,420012600,3920117600,893201357664,1142401736448,215600327712,50400076608,0,1848002808960,392000595840,0,10217215530144,3920058800,0,0,23940718200,0,0,0,0,0,0,0,0,0,0,1820127400,0,0,700021000,229600348992,0,420012600,70029400,0,0,19600029792,3945205996704,7540411461408,890401353408,19462829583456,7686011682720,0,0,49294784000,imm,"std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)",stl_vector.h,0x12afb
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",5040110880000,4592501032800,2999665991200,31640949200,34581037400,0,508495254400,0,4384806664896,22400034048,2800004256,14000021280,403200612864,0,0,420012600,1540046200,120400183008,316400480928,781201187424,170800259616,0,1316002000320,537600817152,5600008512,72800110656,19320289800,0,0,7420222600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98000148960,1551202357824,3001604562432,1212401842848,9836414951328,3472005277440,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4d8
"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++",4996909929600,4320095040000,2813461894800,31920957600,28280848400,0,737962138200,0,4452006767040,28000042560,14000021280,5600008512,518000787360,0,0,560016800,560016800,148400225568,263200400064,1058401608768,179200272384,0,873601327872,383600583072,2800004256,78400119168,23240348600,0,0,7700231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145600221312,1570802387616,2856004341120,1590402417408,9245614053312,2175603306912,0,0,0,imm,"__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)",stl_iterator.h,0xf4f5
"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin",4209892615600,2748660469200,1836840409600,18900567000,19180575400,0,0,0,2780404226208,215600327712,72800110656,36400055328,134400204288,0,700021000,0,0,156800238336,232400353248,50400076608,14000021280,0,504000766080,308000468160,0,1344002042880,280004200,0,0,5460163800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935201421504,2004803047296,282800429856,6860010427200,4435206741504,0,0,0,imm,"trng::utility::u01xx_traits<float, (unsigned long)1, trng::lcg64>::addin(trng::lcg64&)",uniformxx.hpp,0x12b73
trng::lcg64::step,3116868569600,3072867601600,2060645333200,24500735000,24640739200,1625868774600,702121063000,14270279800,3099604711392,456400693728,240800366016,204400310688,613200932064,0,1680050400,0,280008400,288400438368,296800451136,142800217056,61600093632,0,602000915040,372400566048,0,1542802345056,1120016800,0,0,6860205800,0,0,0,0,0,0,0,0,0,0,0,0,0,140004200,1576402396128,140004200,140004200,0,0,0,0,1122801706656,2158803281376,394800600096,6703210188864,3228404907168,0,0,103519046400,imm,trng::lcg64::step(void),lcg64.hpp,0x12b73
"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors",2737260218400,16449561882400,10735436174400,121523645600,117883536400,626098782400,0,4341302000,16136424527328,14268821688576,14565622139712,12392818837056,14946422718528,16800025536,36821104600,0,140004200,809201229984,369600561792,0,33600051072,0,1772402694048,56000085120,0,24099636631392,560008400,0,0,3220096600,0,0,0,0,0,8432635400,0,0,11620813400,19321352400,700049000,0,0,216306489000,64400097888,127823834600,17640529200,41947610600,38362685200,0,11200017024,4242006447840,15640823774016,364000553280,4317606562752,3357205102944,0,0,742376646200,imm,"ripples::Graph<unsigned int, ripples::WeightedDestination<unsigned int, float>, ripples::BackwardDirection<unsigned int>>::neighbors(unsigned int) const",graph.h,0x12b33
"std::vector<bool, std::allocator<bool>>::operator[]",2639058058000,1623835723600,1028822633600,10500315000,8820264600,0,0,0,1598802430176,282800429856,198800302176,187600285152,352800536256,5600008512,1540046200,280008400,280008400,128800195776,263200400064,0,8400012768,0,537600817152,28000042560,2800004256,1296401970528,560008400,0,0,3920117600,0,0,0,0,0,0,0,0,0,0,280019600,0,0,0,0,0,0,0,0,0,5600008512,669201017184,1330002021600,64400097888,4398806686176,2161603285632,0,0,0,imm,"std::vector<bool, std::allocator<bool>>::operator[](unsigned long)",stl_bvector.h,0x12b05
"std::__move_merge<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter>",2575856667600,3571278566400,2361251946400,24500735000,22820684600,0,0,0,3536405375328,1178801791776,221200336224,204400310688,1400002128000,2800004256,140004200,420012600,3220096600,61600093632,131600200032,504000766080,14000021280,0,358400544768,338800514976,61600093632,1814402757888,8960134400,0,0,9240277200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282800429856,1820002766400,2660004043200,1430802174816,3634405524288,3242404928448,0,0,0,imm,"unsigned int* std::__move_merge<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int*, __gnu_cxx::__ops::_Iter_less_iter)",stl_algo.h,0xf4c5
