Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
[vmlinux],301388.048128,55.9,1.8,0.0,2.0,0.5,25.4,0.7,1108707260220,444583337100,1428099960,126008820,336023520,0,336023520,0,52.938183,vmlinux,[vmlinux],[Unknown],0x0
duplicateGivenGraph$omp$parallel_for@171,176615.027317,34.0,7.1,0.1,2.5,20.5,20.0,0.0,384437532780,281198435700,84005880,0,0,0,0,0,130.947863,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@171,utilityFunctions.cpp,0x44cd34
buildLocalMapCounter,59019.630824,66.4,9.9,58.0,2.7,1.6,0.0,5.1,32092784754660,2298098940900,4410308700,504035280,798055860,588041160,1554108780,0,15.204166,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4a0
sumVertexDegree$omp$parallel_for@74,24047.507380,80.8,0.0,0.1,16.0,2.1,0.0,72.3,93746812320,2520075600,15415078980,420029400,420029400,5754402780,8190573300,0,1224.582329,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43ceec
__GI___libc_malloc,14550.717706,75.4,35.4,0.2,46.9,1.3,0.0,0.0,3233509002360,1296788902500,504035280,0,84005880,0,0,0,15.442197,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
parallelLouvianMethod$omp$parallel_for@237,3535.885148,58.0,4.1,7.8,8.0,53.1,4.7,0.0,23814714420,12390371700,84005880,0,84005880,0,0,0,106.111111,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430bd0
_int_free,3320.568448,0.0,22.3,1.2,1.2,2.2,2.5,0.0,4150564513200,1922817682800,84005880,42002940,0,0,0,0,10.816663,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,3165.396077,0.0,26.8,0.3,0.3,0.7,0.3,0.0,3988397648340,2122323667800,42002940,0,0,0,0,0,10.191051,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,2787.689686,7.1,18.4,1.9,2.3,2.6,0.0,0.0,2089646687520,2395331857800,210014700,42002940,84005880,0,0,42002940,10.935488,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2589.213397,46.6,4.8,8.3,12.0,34.0,0.1,5.1,1705209154740,67202016000,2142149940,210014700,378026460,0,42002940,0,13.367394,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfb0
plm_init$omp$parallel_for@285,1859.662677,89.3,0.0,0.0,0.7,0.4,71.4,0.0,0,20160604800,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431f90
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1249.799173,11.5,8.7,0.0,0.2,0.1,0.0,0.0,1124961747840,105843175200,0,0,0,0,0,0,18.614719,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
plm_analyzeClusters$omp$parallel_for@64,1079.590720,40.7,3.8,4.9,19.7,0.0,6.9,28.9,604818144000,241927257600,252017640,0,0,42002940,42002940,0,13.073637,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431684
