Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,43826.728533,75.3,7.9,2.1,11.3,62.2,0.0,0.0,17094554821260,1176035280000,230666145500,61849329150,163055413080,0,0,3395237650,16.098946,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",7021.116601,10.6,9.1,0.0,0.0,0.0,0.0,0.0,5674076217180,521935657600,0,0,0,0,0,0,10.867094,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5691.659654,74.5,1.1,0.0,4.4,77.9,0.0,0.0,1414014419160,46971409100,77285409600,15639094660,62374365900,0,0,294020580,20.314845,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfe0
__GI___libc_malloc,1796.674869,2.6,29.0,0.0,0.4,0.5,0.0,0.0,1786859604180,573457203200,14000980,0,0,0,0,14000980,15.055541,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
_int_free,1773.088657,0.0,12.4,0.6,0.0,0.2,1.5,0.0,2955292656120,1315899475800,0,0,0,0,0,0,15.352038,libc-2.28.so,_int_free,malloc.c,0x91e90
std::_Rb_tree_insert_and_rebalance,1772.609263,3.0,23.4,0.4,0.4,0.7,0.0,0.0,2736676097820,1370361109600,0,7000490,0,0,0,0,16.398876,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
_int_malloc,1514.982635,7.0,26.0,2.8,0.5,1.2,0.1,0.0,1061455842720,1121573646200,56003920,35002450,98006860,0,0,0,17.784141,libc-2.28.so,_int_malloc,malloc.c,0x93660
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",1037.409791,82.0,0.0,0.0,14.6,77.0,0.0,0.0,144274328100,157784733400,6958487060,3577250390,3080215600,0,0,0,23.071429,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dc17
plm_analyzeClusters$omp$parallel_for@64,599.530816,14.6,17.1,0.9,0.2,17.6,3.6,0.0,642997289340,292608778000,728050960,350024500,448031360,0,0,7000490,12.792792,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x4316b4
__GI_,564.535014,0.0,20.7,0.4,0.5,0.3,1.4,0.0,1000596016980,114523435600,0,0,14000980,0,0,0,14.668841,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
[vmlinux],531.936185,19.8,13.8,0.0,6.7,13.5,12.7,0.0,335800073700,205526165600,700049000,665046550,28001960,0,0,7000490,15.013403,vmlinux,[vmlinux],[Unknown],0x0
parallelLouvianMethod$omp$parallel_for@237,494.255774,91.9,9.7,53.6,4.9,12.4,15.5,0.0,42967288980,20790623700,126008820,84005880,70004900,0,0,0,68.344985,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430c00
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",493.201106,11.9,7.9,0.0,0.0,0.0,0.0,0.0,418458553380,39831194900,0,0,0,0,0,0,12.620813,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
plm_init$omp$parallel_for@285,351.971474,95.4,0.1,0.0,0.1,0.3,96.1,0.0,0,26390791700,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431fc0
malloc_consolidate,347.848681,4.8,12.8,9.5,0.0,2.8,0.2,0.0,387083612160,272308169000,98006860,7000490,70004900,0,0,0,16.851728,libc-2.28.so,malloc_consolidate,malloc.c,0x903b0
parallelLouvianMethod$omp$parallel_for@210,262.995846,90.1,2.2,47.7,2.6,43.6,0.0,0.0,17010510300,0,574040180,336023520,140009800,0,0,0,53.428571,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430f13
tcache_get,260.790631,0.0,13.2,0.0,0.1,0.7,0.0,0.0,291320739360,745312358700,0,7000490,0,0,0,21001470,14.376734,libc-2.28.so,tcache_get,malloc.c,0x95d29
operator new,224.260767,0.0,18.0,0.0,1.8,1.1,0.0,0.0,34147024380,63561906800,0,0,0,0,0,7000490,15.220450,libstdc++.so.6.0.25,operator new(unsigned long),[Unknown],0x94280
__intel_ssse3_rep_memmove,209.303658,0.0,14.6,5.9,0.2,1.6,2.3,0.0,220758622560,146094382700,14000980,0,0,0,0,0,15.909439,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47b570
func@0xaaf30,189.456723,0.0,18.0,0.9,0.0,3.8,0.0,0.0,226176785100,0,0,0,0,0,0,0,11.119128,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
std::_Rb_tree_increment,187.826782,19.8,14.2,0.0,5.6,28.8,0.0,0.0,246085382340,0,28001960,7000490,14000980,0,0,56003920,14.350306,libstdc++.so.6.0.25,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xaaf90
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",147.270004,17.1,16.2,0.0,4.6,15.0,0.0,0.0,236383091280,0,0,0,0,0,0,98006860,13.496474,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43d666
"std::vector<double, std::allocator<double>>::push_back",136.915082,3.3,18.0,0.0,0.0,6.0,0.0,0.0,136840105080,15890476700,0,0,0,0,0,0,14.535408,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43db37
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",113.904143,1.0,16.7,0.0,2.4,4.3,0.0,0.0,0,0,0,0,0,0,0,42002940,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43d68e
operator delete,106.137952,0.0,26.8,0.3,0.0,0.9,0.2,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.25,operator delete(void*),[Unknown],0x923c0
sumVertexDegree$omp$parallel_for@74,96.550061,76.5,3.0,0.8,13.1,61.3,0.0,0.0,3402102060,140004200,364025480,322022540,98006860,0,0,0,270.326531,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cf1c
tcache_put,91.372600,21.0,5.5,1.1,0.0,0.0,31.9,0.0,56323689660,339370180800,0,0,0,0,0,0,11.668534,libc-2.28.so,tcache_put,malloc.c,0x921c0
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",89.550901,3.6,24.0,1.5,1.1,0.0,0.1,0.0,19152574560,725711770700,0,7000490,0,0,0,0,13.095841,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43d783
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",85.619865,1.8,22.9,0.0,1.6,0.3,0.3,0.0,94628838780,178995369700,0,0,0,0,0,0,17.880490,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43d68e
kmp_flag_native<unsigned long long>::get,84.948713,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.215047,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
duplicateGivenGraph$omp$parallel_for@152,83.318772,88.5,13.4,3.5,8.3,28.5,27.4,0.0,12852385560,9240277200,0,0,0,0,0,0,105.796537,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@152,utilityFunctions.cpp,0x44cd3b
