Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,13398.009823,74.9,5.7,2.9,10.2,64.2,0.0,0.0,4410307305250,354007619910,71278989180,28526996750,38495694510,0,0,3444241080,20.736871,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4d0
max,1394.193686,69.1,0.4,0.3,8.1,72.6,0.0,0.0,340840224900,4347130410,17018191190,5565389550,10444731080,0,0,413028910,25.056185,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfe0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",998.450720,11.5,9.1,0.0,0.0,0.0,0.0,0.0,779788392950,72725181690,0,0,0,0,0,0,11.037732,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,549.337694,0.0,20.3,1.0,1.0,1.5,0.0,0.0,618958568200,304257127440,0,21001470,0,0,0,0,11.632459,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
_int_malloc,493.021516,8.9,24.3,2.7,0.4,2.0,0.1,0.0,309759292500,322233666720,56003920,7000490,28001960,0,0,0,16.794541,libc-2.28.so,_int_malloc,malloc.c,0x93660
_int_free,469.820836,0.0,12.4,1.0,0.9,0.3,1.2,0.0,739222176000,345103352790,21001470,14000980,0,0,0,0,12.628026,libc-2.28.so,_int_free,malloc.c,0x91e90
[vmlinux],399.765550,67.1,13.3,0.0,7.1,8.7,39.5,0.0,78507355150,45655369620,350024500,224015680,70004900,0,0,0,33.899598,vmlinux,[vmlinux],[Unknown],0x0
__GI___libc_malloc,387.697797,0.0,18.6,0.2,0.3,1.3,0.1,0.0,504820144150,148684460400,7000490,0,0,0,0,7000490,12.504320,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",305.631414,81.6,2.4,0.0,11.9,77.1,0.0,0.0,34826044750,41371241100,1722120540,532037240,1036072520,0,0,0,27.198905,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dc17
sumVertexDegree$omp$parallel_for@74,266.227086,96.2,1.8,0.0,9.5,80.2,0.0,0.0,6510195300,42001260,1176082320,616043120,602042140,0,0,0,1222.340426,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cf1c
duplicateGivenGraph$omp$parallel_for@152,258.578510,90.5,4.1,7.7,5.1,57.5,11.6,0.0,27685830550,20664619920,14000980,0,21001470,0,0,0,177.165948,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@152,utilityFunctions.cpp,0x44cd3b
func@0xaaf30,216.879609,0.0,21.0,1.0,0.8,1.5,0.0,0.0,227576827100,0,14000980,7000490,0,0,0,0,10.495252,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
malloc_consolidate,139.572340,14.4,16.3,7.2,5.3,4.7,0.1,0.0,109763292800,79592387700,112007840,133009310,0,0,0,0,12.508011,libc-2.28.so,malloc_consolidate,malloc.c,0x903b0
__GI_,135.861365,0.0,23.5,0.4,1.2,1.1,0.7,0.0,216271487950,21693650790,35002450,28001960,7000490,0,0,0,13.600885,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",131.980421,10.5,6.8,0.0,0.2,0.0,0.0,0.0,120963628800,11256337680,0,0,0,0,0,0,14.712531,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
plm_analyzeClusters$omp$parallel_for@64,79.176921,15.7,10.8,0.7,0.9,24.2,0.8,0.0,78297348850,20664619920,154010780,112007840,49003430,0,0,0,13.262178,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x4316b4
