Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,13070.533097,74.6,5.8,2.8,10.0,64.0,0.0,0.0,4378757358780,350227506510,68226775540,27532927170,36759572990,0,0,3472243040,20.955048,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d580
[vmlinux],5974.155741,26.0,14.0,0.0,0.3,0.3,4.4,0.3,1617384520080,68315049390,301021070,231016170,35002450,0,91006370,0,8.670348,vmlinux,[vmlinux],[Unknown],0x0
max,1418.000702,69.8,1.3,1.1,7.4,72.5,0.0,0.0,337858135440,4053121590,16857179920,5306371420,10192713440,0,0,518036260,27.019848,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e090
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",999.876481,12.4,9.2,0.0,0.0,0.0,0.0,0.0,840613217640,75329259810,0,7000490,0,0,0,0,10.139018,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,546.777828,0.0,20.0,1.1,0.6,1.4,0.0,0.0,613722411120,304761142560,0,7000490,7000490,0,0,0,11.293869,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
_int_malloc,484.935190,7.4,23.7,3.9,0.0,2.1,0.1,0.0,304971148860,317613528120,28001960,35002450,35002450,0,0,0,15.832478,libc-2.28.so,_int_malloc,malloc.c,0x93660
_int_free,468.984235,0.0,12.5,1.6,0.3,0.3,0.9,0.0,733257997080,341554246320,35002450,28001960,7000490,0,0,0,12.136411,libc-2.28.so,_int_free,malloc.c,0x91e90
__GI___libc_malloc,399.754474,0.0,16.9,0.3,0.0,1.4,0.1,0.0,487172614740,147529425750,0,0,0,0,0,7000490,12.346027,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
sumVertexDegree$omp$parallel_for@74,267.864915,96.0,4.8,0.0,8.2,81.3,0.0,0.0,6678200340,147004410,1127078890,497034790,721050470,0,0,0,744.030303,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cfcc
func@0xaaf30,216.089683,0.0,23.7,0.5,0.8,1.4,0.0,0.0,232602977880,42001260,7000490,0,0,0,0,0,10.718621,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",138.721013,8.3,5.2,0.0,0.1,0.0,0.0,0.0,123315699360,11592347760,0,0,0,0,0,0,10.030337,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
__GI_,134.537156,0.0,20.4,0.9,0.5,2.1,1.2,0.0,218280548220,22428672840,28001960,21001470,0,0,0,0,12.149176,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
malloc_consolidate,133.229700,11.4,15.2,6.7,6.8,5.4,0.0,0.0,107691230640,78290348640,126008820,98006860,7000490,0,0,0,12.094301,libc-2.28.so,malloc_consolidate,malloc.c,0x903b0
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",117.376804,74.4,5.9,0.0,8.9,70.7,0.1,0.0,24360730800,35113053360,616043120,161011270,462032340,0,0,0,20.319767,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dcc7
duplicateGivenGraph$omp$parallel_for@152,106.688357,90.5,28.4,0.7,1.1,10.9,44.0,0.0,29022870660,21042631260,14000980,0,14000980,0,0,0,93.502564,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@152,utilityFunctions.cpp,0x44ce5f
plm_analyzeClusters$omp$parallel_for@64,76.028529,11.3,17.5,0.0,1.3,19.2,0.6,0.0,87110613240,19488584640,140009800,56003920,63004410,0,0,0,17.184867,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431764
std::_Rb_tree_increment,63.215466,18.7,6.8,7.0,6.6,28.0,0.0,0.0,84254527560,0,112007840,126008820,0,0,0,77005390,12.203704,libstdc++.so.6.0.25,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xaaf90
tcache_get,59.554591,0.0,15.9,0.5,1.2,0.5,0.0,0.0,56995709820,153052591440,7000490,0,0,0,0,0,14.939850,libc-2.28.so,tcache_get,malloc.c,0x95d29
operator new,57.920272,0.0,16.7,0.3,0.8,1.0,0.1,0.0,7056211680,9156274680,0,0,0,0,0,0,13.160256,libstdc++.so.6.0.25,operator new(unsigned long),[Unknown],0x94280
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",45.924369,13.8,18.8,1.2,6.9,7.5,0.0,0.0,59473784160,0,0,0,0,0,0,28001960,12.372374,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43d716
__intel_ssse3_rep_memmove,42.328867,0.0,6.3,8.6,1.0,1.7,1.4,0.0,45151354500,31227936810,0,0,0,0,0,0,15.982955,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47b730
"std::vector<double, std::allocator<double>>::push_back",41.805885,1.6,13.9,2.2,0.0,2.9,0.2,0.0,30828924840,4830144900,0,0,0,0,0,0,13.875648,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43dbe7
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",36.870241,4.9,21.8,0.0,0.0,2.2,0.1,0.0,5838175140,178715361300,0,0,0,0,0,0,13.214286,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43d833
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",34.909058,5.6,12.6,1.9,1.5,3.7,0.0,0.0,0,0,0,0,0,0,0,21001470,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43d73e
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",33.503543,9.0,10.2,0.8,6.5,5.3,0.0,0.0,16254487620,3780113400,7000490,14000980,0,0,0,0,10.714286,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e350
__kmpc_atomic_float8_add,30.267591,78.6,17.9,0.0,20.2,56.0,0.0,0.0,462013860,147004410,112007840,0,14000980,0,0,0,16.500000,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",28.339095,0.0,19.9,1.0,1.0,0.0,0.3,0.0,19782593460,41770253070,0,0,0,0,0,0,13.489309,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43d73e
parallelLouvianMethod$omp$parallel_for@237,26.704776,85.3,0.0,53.8,3.4,12.6,12.6,0.0,2268068040,1155034650,21001470,0,7000490,0,0,0,36.125000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430cb0
operator delete,26.574030,0.0,23.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.25,operator delete(void*),[Unknown],0x923c0
tcache_put,24.580161,38.3,37.8,18.4,0.6,0.6,0.0,0.0,714021420,861025830,0,0,0,0,0,0,20.840090,libc-2.28.so,tcache_put,malloc.c,0x93764
plm_init$omp$parallel_for@285,19.775262,91.5,0.9,0.0,0.9,0.0,89.2,0.0,0,1596047880,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x432070
func@0x8b430,17.193038,0.0,27.7,3.3,0.0,0.0,0.3,0.0,40615218420,0,0,0,0,0,0,0,11.259076,libstdc++.so.6.0.25,func@0x8b430,[Unknown],0x8b430
parallelLouvianMethod$omp$parallel_for@210,15.427973,74.8,0.0,63.9,8.3,30.6,0.0,0.0,966028980,0,28001960,0,0,0,0,0,55.071429,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430fc3
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",13.924400,39.1,24.4,0.0,4.4,34.0,0.0,0.0,0,31941958230,0,0,0,0,0,14000980,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43e161
func@0x8ab70,13.336045,0.0,16.9,1.1,0.0,4.5,0.0,0.0,101517045420,0,0,0,0,0,0,7000490,11.468652,libstdc++.so.6.0.25,func@0x8ab70,[Unknown],0x8ab70
kmp_flag_native<unsigned long long>::get,10.753820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.778068,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
func@0x4043e0,10.132779,0.0,12.5,0.0,1.4,0.0,0.0,0.0,32550976500,0,0,0,0,0,0,0,14.315534,driverForGraphClustering,func@0x4043e0,[Unknown],0x4043e0
