Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1877.873941,10.7,9.5,0.0,0.0,0.0,0.0,0.0,1472921186310,135209056150,0,0,0,0,0,0,7.123714,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
buildLocalMapCounter,799.454337,51.7,5.4,29.2,13.5,19.4,0.0,0.0,455216656090,46915407420,679047530,28001960,21001470,0,0,0,15.054013,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4d0
[vmlinux],79.184489,0.0,17.4,0.0,3.2,3.7,5.4,0.0,75441263170,46537396080,0,0,0,0,0,0,10.794890,vmlinux,[vmlinux],[Unknown],0x0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",69.029837,11.0,6.9,0.0,0.0,0.0,0.0,0.0,52858585710,4963148890,0,0,0,0,0,0,7.714609,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
_int_free,52.734455,0.0,13.6,0.8,0.2,0.4,2.2,0.0,74083222430,33790013670,0,0,0,0,0,0,8.395094,libc-2.28.so,_int_free,malloc.c,0x91e90
max,51.954334,24.3,7.0,3.1,13.3,35.4,0.0,0.0,30660919800,938028140,56003920,0,0,0,0,0,10.835206,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfe0
std::_Rb_tree_insert_and_rebalance,50.947585,0.0,19.7,3.0,0.0,2.1,0.1,0.0,50016500450,24675740250,7000490,0,0,0,0,0,7.041056,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
__GI___libc_malloc,35.772265,0.0,16.3,2.1,0.8,1.2,0.4,0.0,39607188180,7924237720,0,0,0,0,0,0,8.184599,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
_int_malloc,35.410533,15.5,28.9,5.9,0.1,3.8,0.0,0.0,22204666120,14098422940,7000490,0,0,0,0,0,24.482412,libc-2.28.so,_int_malloc,malloc.c,0x93660
func@0xaaf30,23.691281,0.0,22.5,0.6,0.0,2.5,0.0,0.0,26110783300,0,0,0,0,0,0,0,6.943231,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
plm_analyzeClusters$omp$parallel_for@64,22.976533,23.0,10.1,0.0,1.0,36.4,1.8,0.0,19572587160,6195185850,28001960,0,0,0,0,0,8.074733,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x4316b4
__GI_,20.078317,0.0,19.9,1.6,0.7,1.4,5.3,0.0,26733801990,3164094920,0,0,0,0,0,0,7.562607,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
